#YY  MM DD hh mm WVHT  SwH  SwP  WWH  WWP SwD WWD  STEEPNESS  APD MWD
#yr  mo dy hr mn    m    m  sec    m  sec  -  degT     -      sec degT
2021 04 19 20 26  1.3  0.7 14.3  1.1  6.7 SSW   W    AVERAGE  5.6 198
2021 04 19 19 56  1.2  0.7 20.0  1.0  7.7  SW   W    AVERAGE  6.1 230
2021 04 19 19 26  1.2  0.7 20.0  1.0  6.7  SW   W    AVERAGE  6.1 229
2021 04 19 18 56  1.2  0.8 14.3  0.9  5.3 SSW   W    AVERAGE  6.7 207
2021 04 19 18 26  1.2  0.7 14.3  1.0  7.1 SSW   W    AVERAGE  6.2 199
2021 04 19 17 56  1.2  0.7 14.3  1.0  5.3  SW   W    AVERAGE  6.1 215
2021 04 19 17 26  1.3  0.7 14.3  1.1  6.2 SSW   W    AVERAGE  6.3 205
2021 04 19 16 56  1.3  0.7 15.4  1.1  6.2 SSW   W    AVERAGE  6.1 198
2021 04 19 16 26  1.2  0.6 14.3  1.0  6.7 SSW   W    AVERAGE  5.9 206
2021 04 19 15 56  1.3  0.7 14.3  1.1  5.9 SSW   W    AVERAGE  6.1 206
2021 04 19 15 26  1.2  0.6 20.0  1.1  5.9 WSW   W      STEEP  5.8 268
2021 04 19 14 56  1.3  0.7 14.3  1.2  6.7 SSW   W    AVERAGE  5.8 193
2021 04 19 14 26  1.4  0.7 15.4  1.1  5.6 SSW WNW    AVERAGE  5.8 195
2021 04 19 13 56  1.4  0.6 14.3  1.2  5.6 SSW   W VERY_STEEP  5.5 276
2021 04 19 13 26  1.5  0.7 14.3  1.3  6.2 SSW   W    AVERAGE  5.7 196
2021 04 19 12 56  1.5  0.7 15.4  1.3  6.2 SSW   W    AVERAGE  5.7 206
2021 04 19 12 26  1.5  0.8 13.3  1.3  5.0 WSW   W    AVERAGE  5.8 255
2021 04 19 11 56  1.4  0.7 13.3  1.2  5.6 WSW   W VERY_STEEP  5.7 271
2021 04 19 11 26  1.4  0.8 14.3  1.1  6.2 SSW   W    AVERAGE  6.0 206
2021 04 19 10 56  1.3  0.7 12.5  1.1  5.6   W   W    AVERAGE  6.0 269
2021 04 19 10 26  1.3  0.8 13.3  1.1  6.2 WSW   W    AVERAGE  6.0 241
2021 04 19 09 56  1.4  0.8 22.2  1.1  7.1 SSW   W    AVERAGE  6.1 206
2021 04 19 09 26  1.4  0.8 15.4  1.2  6.2  SW WNW    AVERAGE  5.8 217
